data-itemid,data-product-name,data-variant,data-category,data-brand,data-price,data-dimension9,data-dimension,data-metric2,item-link,item-image-link
1LG50D125MC14506200,Cappa Blade Lacroc,Nilegreen,shoes-sandals,Casadei,790,SS2022,FP,267,https://www.casadei.com/en/shoes/sandals/cappa-blade-lacroc-nilegreen-1LG50D125MC14506200.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw39383402/images/zoom/1LG50D125MC1450_6200_3.jpg?sw=804&sh=1200&sm=fit
1LG50D125MC14509996,Cappa Blade Lacroc,Porcelain,shoes-sandals,Casadei,790,SS2022,FP,267,https://www.casadei.com/en/shoes/sandals/cappa-blade-lacroc-porcelain-1LG50D125MC14509996.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw938ad85f/images/zoom/1LG50D125MC1450_9996_3.jpg?sw=804&sh=1200&sm=fit
1LG50D125MC1665ZZZZ,Cappa Blade Pink Panther,Pink Panther,shoes-sandals,Casadei,825,SS2022,FP,279,https://www.casadei.com/en/shoes/sandals/cappa-blade-pink-panther-pink-panther-1LG50D125MC1665ZZZZ.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe0c14716/images/zoom/1LG50D125MC1665_ZZZZ_3.jpg?sw=804&sh=1200&sm=fit
1LG50D125MFLASH1300,Cappa Blade,Mekong,shoes-sandals,Casadei,765,SS2021,FP,260,https://www.casadei.com/en/shoes/sandals/cappa-blade-mekong-1LG50D125MFLASH1300.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe2bd1b9d/images/zoom/1LG50D125MFLASH_1300_3.jpg?sw=804&sh=1200&sm=fit
1M726S0801T03052618,Twiga,Etruria,shoes-wedges,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/wedges/twiga-etruria-1M726S0801T03052618.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw52452521/images/zoom/1M726S0801T0305_2618_3.jpg?sw=804&sh=1200&sm=fit
1M726S0801T03052801,Twiga,Dafne,shoes-wedges,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/wedges/twiga-dafne-1M726S0801T03052801.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw97c08b4e/images/zoom/1M726S0801T0305_2801_3.jpg?sw=804&sh=1200&sm=fit
1M727S0201T0296A336,Twiga,Gold,shoes-wedges,Casadei,595,SS2021,FP,202,https://www.casadei.com/en/shoes/wedges/twiga-gold-1M727S0201T0296A336.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwee0cf325/images/zoom/1M727S0201T0296_A336_3.jpg?sw=804&sh=1200&sm=fit
1M727S0201T03052615,Twiga,Rum,shoes-wedges,Casadei,595,SS2022,FP,202,https://www.casadei.com/en/shoes/wedges/twiga-rum-1M727S0201T03052615.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwb8706216/images/zoom/1M727S0201T0305_2615_3.jpg?sw=804&sh=1200&sm=fit
1M728S0801T0145A336,Twiga,Gold,shoes-wedges,Casadei,675,SS2022,FP,229,https://www.casadei.com/en/shoes/wedges/twiga-gold-1M728S0801T0145A336.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw67d95634/images/zoom/1M728S0801T0145_A336_3.jpg?sw=804&sh=1200&sm=fit
1M764U0101C17392615,Hanoi,Rum,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/hanoi-rum-1M764U0101C17392615.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwc6a357b0/images/zoom/1M764U0101C1739_2615_3.jpg?sw=804&sh=1200&sm=fit
1M766U0801C1656A906,Julia Venezia,Spiaggia Rosa,shoes-sandals,Casadei,825,SS2022,FP,279,https://www.casadei.com/en/shoes/sandals/julia-venezia-spiaggia-rosa-1M766U0801C1656A906.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw999c04c1/images/zoom/1M766U0801C1656_A906_3.jpg?sw=804&sh=1200&sm=fit
